Product/Service Name,Quantity on hand,Item type,Category,SKU,Purchase cost includes tax,Sales price/rate includes tax,Price,Cost,Income Account,Expense Account,Stock asset account,Sales Description,Purchase Description,Reorder Point
BASIN-S/S-WH,0,Non-Stock,,,No,No,,,Services,Purchases,,"S/S Wash hand basin
400 x 500mm","S/S Wash hand basin
400 x 500mm",0
BRICKS-CL/STOCK,0,Non-Stock,,,No,No,,,Purchases,Purchases,,Clay stock bricks p/ea,Clay stock bricks p/ea,0
BRICKS-RT/D-CANT,0,Non-Stock,,,No,No,0,0,Purchases,Purchases,,Roan Travertine Double Cant brick,Roan Travertine Double Cant brick,0
BRICKS-RT/FB,0,Non-Stock,,20RBTRDMB,No,No,9.87,9.87,Purchases,Purchases,,"Roan Travertine face brick
FBX Blending on site essential","Roan Travertine face brick
FBX Blending on site essential",0
BRICKS-RT/PH,0,Non-Stock,,20RBTRDPH,No,No,15.47,15.47,Purchases,Purchases,,Roan Travertine plinth header,Roan Travertine plinth header,0
BRICKS-RT/S-CANT,0,Non-Stock,,,No,No,0,0,Purchases,Purchases,,Roan Travertine Single Cant brick,Roan Travertine Single Cant brick,0
"BUILD-B/FORCE-4,5",0,Non-Stock,,,No,No,,,Purchases,Purchases,,"Brickforce 4,5 inch","Brickforce 4,5 inch",0
BUILD-B/FORCE-9,0,Non-Stock,,,No,No,,,Purchases,Purchases,,Brickforce 9 inch,Brickforce 9 inch,0
BUILD-B/SAND,0,Non-Stock,,,No,No,,,Purchases,Purchases,,Building sand p/cubic M,Building sand p/cubic M,0
BUILD-CEMENT/32.5,0,Non-Stock,,,No,No,,,Purchases,Purchases,,Cement 32.5N p/50kg,Cement 32.5N p/50kg,0
BUILD-CONCR/MIX,0,Non-Stock,,,No,No,,,Cost of sales,Purchases,,"Concrete Mix
p/m³","Concrete Mix
p/m³",0
BUILD-CONC/SPACERS,0,Non-Stock,,,No,No,,,Purchases,Purchases,,Concrete spacers,Concrete spacers,0
BUILD-P/SAND,0,Non-Stock,,,No,No,,,Purchases,Purchases,,Plaster Sand p/cubic M,Plaster Sand p/cubic M,0
BUILD-R/SAND,0,Non-Stock,,,No,No,,,Purchases,Purchases,,River Sand p/m³,River Sand p/m³,0
BUILD-W/TIES,0,Non-Stock,,,No,No,,,Purchases,Purchases,,Wall ties,Wall ties,0
CDS-CEILING/T-002,0,Non-Stock,,,No,No,41.46,41.46,Purchases,Purchases,,"White Vinyl ceiling tiles 
1200 x 600 x 9mm","White Vinyl ceiling tiles 
1200 x 600 x 9mm",0
CDS-CEILING/T-003,0,Non-Stock,,,No,No,68,68,Purchases,Purchases,,"Black Vinyl Ceiling Tile
1200 x 600 x 9mm (with foil)","Black Vinyl Ceiling Tile
1200 x 600 x 9mm (with foil)",0
CDS-RHINO-001,0,Non-Stock,,,No,No,355,355,Cost of sales,Purchases,,Rhinolite -40Kg,Rhinolite -40Kg,0
CDS-SHADOW/L-001,0,Non-Stock,,,No,No,48.23,48.23,Purchases,Purchases,,"White Shadowline 
3.6m","White Shadowline 
3.6m",0
CDS-TEES-001,0,Non-Stock,,,No,No,14.69,14.69,Purchases,Purchases,,"White Cross tees
1.2m","White Cross tees
1.2m",0
CDS-TEES-002,0,Non-Stock,,,No,No,,,Purchases,Purchases,,"White Main tees
1.2m","White Main tees
1.2m",0
DEL.INSTR-001,0,Non-Stock,,,No,No,,,Uncategorised Income,Uncategorised Expense,,,,0
DELIVERY,0,Non-Stock,,,No,No,,,Purchases,Purchases,,Delivery / Transport,Delivery / Transport,0
D.FRAME-1000MM,0,Non-Stock,,,No,No,1373,1373,Purchases,Purchases,,"Meranti Door Frame (100x70)
2032 x 1000mm","Meranti Door Frame (100x70)
2032 x 1000mm",0
D.FRAME-760MM,0,Non-Stock,,,No,No,1373,1373,Purchases,Purchases,,"Meranti Door Frame (100x70)
2032 x 760mm","Meranti Door Frame (100x70)
2032 x 760mm",0
D.FRAME-813MM,0,Non-Stock,,,No,No,1373,1373,Purchases,Purchases,,"Meranti Door Frame (100x70)
2032 x 813mm","Meranti Door Frame (100x70)
2032 x 813mm",0
D.FRAME-900MM,0,Non-Stock,,,No,No,1373,1373,Purchases,Purchases,,"Meranti Door Frame (100x70)
2032 x 900mm","Meranti Door Frame (100x70)
2032 x 900mm",0
D.FRAME-CUSTOM,0,Non-Stock,,,No,No,1373,1373,Purchases,Purchases,,"Meranti Door Frame (100x70)
2032 x","Meranti Door Frame (100x70)
2032 x",0
DOOR.AN.BANDIT-813MM,0,Non-Stock,,,No,No,21829,21829,Purchases,Purchases,,"Anti Bandit Door Item 8 (D1) 
2032 x 813mm 
Overall Size: 890W x 202H","Anti Bandit Door Item 8 (D1) 
2032 x 813mm 
Overall Size: 890W x 202H",0
DOOR.CHOP.RSD-1.64x3.6M,0,Non-Stock,,,No,No,,,Purchases,Purchases,,"Chain operated roller shutter door
1640mm x 3600mm
* DG Chain sets big gear - Chain sets comp
* Chain & big gear wheels c/w 6 met chain
* Including Delivery & Installation","Chain operated roller shutter door
1640mm x 3600mm
* DG Chain sets big gear - Chain sets comp
* Chain & big gear wheels c/w 6 met chain
* Including Delivery & Installation",0
DOOR.CHOP.RSD-2.1x1.5M,0,Non-Stock,,,No,No,,,Purchases,Purchases,,"Chain operated roller shutter door
2.100 x 1.500mm
* Rails fixed against walls
* Chain on LH Side
* Mounted inside the building","Chain operated roller shutter door
2.100 x 1.500mm
* Rails fixed against walls
* Chain on LH Side
* Mounted inside the building",0
DOOR.CHOP.RSD-2.3x1.5M,0,Non-Stock,,,No,No,,,Purchases,Purchases,,"Chain operated roller shutter door
2.300 x 1.500m
* Rails fixed against Brick walls
* Chain on RH Side","Chain operated roller shutter door
2.300 x 1.500m
* Rails fixed against Brick walls
* Chain on RH Side",0
DOOR.CHOP.RSD-2.4x1.3M,0,Non-Stock,,,No,No,,,Purchases,Purchases,,"Chain operated roller shutter door
2.400x 1.300m
* Rails fixed against walls
* Including delivery and installation
* Chain on","Chain operated roller shutter door
2.400x 1.300m
* Rails fixed against walls
* Including delivery and installation
* Chain on",0
DOOR.MER.FBB-900MM,0,Non-Stock,,,No,No,2507,2507,Purchases,Purchases,,"FLB Meranti Door
2032 x 900mm","FLB Meranti Door
2032 x 900mm",0
DOOR.MER.FLB-1000MM,0,Non-Stock,,,No,No,2758,2758,Purchases,Purchases,,"FLB Meranti Door
2032 x 1000mm","FLB Meranti Door
2032 x 1000mm",0
DOOR.MER.FLB-760MM,0,Non-Stock,,,No,No,2507,2507,Purchases,Purchases,,"FLB Meranti Door
2032 x 760mm","FLB Meranti Door
2032 x 760mm",0
DOOR.MER.FLB-813MM,0,Non-Stock,,,No,No,2507,2507,Purchases,Purchases,,"FLB Meranti Door
2032 x 813mm","FLB Meranti Door
2032 x 813mm",0
DOOR.MER.FLB-CUSTOM,0,Non-Stock,,,No,No,2507,2507,Purchases,Purchases,,"FLB Meranti Door
2032 x","FLB Meranti Door
2032 x",0
DOORS-CHOPRSD-1.6X3.6M,0,Non-Stock,,,No,No,11631.92,11631.92,Purchases,Purchases,,"Chain operated RSD
1.640 x 3.600
DG Chain sets big gear
*Chain sets comp-chain & big gear wheels c/w 6 met chain","Chain operated RSD
1.640 x 3.600
DG Chain sets big gear
*Chain sets comp-chain & big gear wheels c/w 6 met chain",0
DOORS-CHOPRSD-2.1X1.5M,0,Non-Stock,,,No,No,7485,7485,Purchases,Purchases,,"Chain operated RSD
2.100 x 1.500
*Rails fixed against walls
*Mounted on building wall
*Chain side :","Chain operated RSD
2.100 x 1.500
*Rails fixed against walls
*Mounted on building wall
*Chain side :",0
DOORS-CHOPRSD-2.3X1.5M,0,Non-Stock,,,No,No,9137.65,9137.65,Purchases,Purchases,,"Chain operated RSD
2.300 x 1.500
*Rails fixed against walls
*Mounted on building wall
*Chain side :","Chain operated RSD
2.300 x 1.500
*Rails fixed against walls
*Mounted on building wall
*Chain side :",0
DOORS-CHOPRSD-2.4X1.3M,0,Non-Stock,,,No,No,,,Purchases,Purchases,,"Chain operated RSD
2.400 x 1.300
*Rails fixed against walls
*Mounted on building wall
*Chain side :","Chain operated RSD
2.400 x 1.300
*Rails fixed against walls
*Mounted on building wall
*Chain side :",0
DOORS-CHOPRSD-2.4X1.5,0,Non-Stock,,,No,No,0,0,Purchases,Purchases,,"Chain operated RSD
2.400 x 1.500
*Rails fixed against walls
*Mounted on building wall
*Chain side :","Chain operated RSD
2.400 x 1.500
*Rails fixed against walls
*Mounted on building wall
*Chain side :",0
DOOR.SOL-1000MM,0,Non-Stock,,,No,No,,,Purchases,Purchases,,"Solid Masonite Door
2032 x 1000mm","Solid Masonite Door
2032 x 1000mm",0
DOOR.SOL-760MM,0,Non-Stock,,,No,No,,,Purchases,Purchases,,"Solid Masonite Door
2032 x 760mm","Solid Masonite Door
2032 x 760mm",0
DOOR.SOL-813MM,0,Non-Stock,,,No,No,,,Purchases,Purchases,,"Solid Masonite Door
2032 x 813mm","Solid Masonite Door
2032 x 813mm",0
DOOR.SOL-900MM,0,Non-Stock,,,No,No,,,Purchases,Purchases,,"Solid Masonite Door
2032 x 900mm","Solid Masonite Door
2032 x 900mm",0
DOOR.SOL-CUSTOM,0,Non-Stock,,,No,No,,,Purchases,Purchases,,"Solid Masonite Door
2032 x","Solid Masonite Door
2032 x",0
DOOR.SSOL-1000MM,0,Non-Stock,,,No,No,543,543,Purchases,Purchases,,"Semi Solid Masonite Door
2032 x 1000mm","Semi Solid Masonite Door
2032 x 1000mm",0
DOOR.SSOL-760MM,0,Non-Stock,,,No,No,380,380,Purchases,Purchases,,"Semi Solid Masonite Door
2032 x 760mm","Semi Solid Masonite Door
2032 x 760mm",0
DOOR.SSOL-813MM,0,Non-Stock,,,No,No,380,380,Purchases,Purchases,,"Semi Solid Masonite Door
2032 x 813mm","Semi Solid Masonite Door
2032 x 813mm",0
DOOR.SSOL-900MM,0,Non-Stock,,,No,No,543,543,Purchases,Purchases,,"Semi Solid Masonite Door
2032 x 900mm","Semi Solid Masonite Door
2032 x 900mm",0
DOOR.SSOL-CUSTOM,0,Non-Stock,,,No,No,543,543,Purchases,Purchases,,"Semi Solid Masonite Door
2032 x","Semi Solid Masonite Door
2032 x",0
DRAWER -CT20-B,0,Non-Stock,,,No,No,,,Purchases,Purchases,,"Bulk Cash / Goods Transfer Drawer
Stainless Steel
CT20B","Bulk Cash / Goods Transfer Drawer
Stainless Steel
CT20B",0
DRAWER -CT250-B,0,Non-Stock,,,No,No,3293.98,3293.98,Purchases,Purchases,,"Bulk Cash / Goods Transfer Drawer
Stainless Steel
CT250B","Bulk Cash / Goods Transfer Drawer
Stainless Steel
CT250B",0
DUL-GRIM.GREY-5L,0,Non-Stock,,00NN 20/000,No,No,,,Purchases,Purchases,,"Dulux Acr. PVA
Grimmy's Grey -5L","Dulux Acr. PVA
Grimmy's Grey -5L",0
DUL-PLATEU.GREY-5L,0,Non-Stock,,40YY 20/081,No,No,,,Purchases,Purchases,,"Dulux Acr. PVA
Plateu Grey -5L","Dulux Acr. PVA
Plateu Grey -5L",0
DUL-TOASTY.GREY-5L,0,Non-Stock,,30YY 51/098,No,No,,,Purchases,Purchases,,"Dulux Acr. PVA
Toasty Grey -5L","Dulux Acr. PVA
Toasty Grey -5L",0
GROUT-001,0,Non-Stock,,,No,No,212.06,212.06,Purchases,Purchases,,"Dove Grey tile grout
(20kg)","Dove Grey tile grout
(20kg)",0
GROUT-002,0,Non-Stock,,,No,No,43,43,Purchases,Purchases,,"Jet Black tile grout
(5kg)","Jet Black tile grout
(5kg)",0
